source_id,source_page_url,original_url,download_url,download_variant,download_width,download_height,title,facility,country,scene_group,visual_review,license,license_url,author,credit,expected_mime,remote_mime,local_filename,local_mime,sha256,width,height,source_page_id,source_timestamp,collected_at
"kalipur-hatchery","https://commons.wikimedia.org/wiki/File:Turtle_hatchery.jpg","https://upload.wikimedia.org/wikipedia/commons/8/83/Turtle_hatchery.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/8/83/Turtle_hatchery.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","original","5184","3456","File:Turtle hatchery.jpg","Kalipur Beach turtle hatchery, Andaman and Nicobar Islands","India","kalipur-beach","Bamboo-walled sand hatchery with circular nest guards.","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0","Arpandhar","Own work","image/jpeg","image/jpeg","raw/individual-whole-bed-allowlist/kalipur-hatchery.jpg","image/jpeg","3d30edbccc8d8d36326dfd7bd04e1bf9dcd8d4fdabadf44fd3db733e579406ca","5184","3456","49813751","","2026-08-14T04:12:18Z"
"ostional-widecast","https://commons.wikimedia.org/wiki/File:Jairo_Mora_Sandoval_WIDECAST_2.jpg","https://upload.wikimedia.org/wikipedia/commons/4/4f/Jairo_Mora_Sandoval_WIDECAST_2.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/4/4f/Jairo_Mora_Sandoval_WIDECAST_2.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","original","3264","2448","File:Jairo Mora Sandoval WIDECAST 2.jpg","Ostional Beach Leatherback and Pacific Green Sea Turtle Project","Costa Rica","ostional-widecast","Volunteers working inside the hatchery enclosure.","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0","Photo taken by Christine Figgener","Email from Didiher Chacón, director of WIDECAST","image/jpeg","image/jpeg","raw/individual-whole-bed-allowlist/ostional-widecast.jpg","image/jpeg","0540c1e4a6efd8789f6897c2e91978bdb68ad4959811dd0c58d08252901a6a07","3264","2448","26526211","","2026-08-14T04:12:18Z"
"playa-dos-kraals","https://commons.wikimedia.org/wiki/File:Kemps_ridley_sea_turtle_kraals_playa_dos_Mexico.jpg","https://upload.wikimedia.org/wikipedia/commons/a/ac/Kemps_ridley_sea_turtle_kraals_playa_dos_Mexico.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/a/ac/Kemps_ridley_sea_turtle_kraals_playa_dos_Mexico.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","original","2048","1536","File:Kemps ridley sea turtle kraals playa dos Mexico.jpg","Kemp’s ridley kraals, Playa Dos","Mexico","rancho-nuevo-playa-dos","Long mesh sand enclosure, ground-level exterior view.","Public domain","https://commons.wikimedia.org/wiki/File:Kemps_ridley_sea_turtle_kraals_playa_dos_Mexico.jpg","Shearer Tom, U.S. Fish and Wildlife Service","http://www.public-domain-image.com/public-domain-images-pictures-free-stock-photos/events-happenings-public-domain-images-pictures/kemps-ridley-sea-turtle-kraals-playa-dos-mexico.jpg","image/jpeg","image/jpeg","raw/individual-whole-bed-allowlist/playa-dos-kraals.jpg","image/jpeg","c401ebb5419dad387f0c3df7da76593318a6b1d994a6c01ca788b29e8cb50484","2048","1536","24923259","","2026-08-14T04:12:18Z"
"playa-la-barqueta-vivero","https://commons.wikimedia.org/wiki/File:Vivero_de_Tortugas_La_Mochila.jpg","https://upload.wikimedia.org/wikipedia/commons/7/73/Vivero_de_Tortugas_La_Mochila.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/7/73/Vivero_de_Tortugas_La_Mochila.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","original","2816","2112","File:Vivero de Tortugas La Mochila.jpg","Playa La Barqueta Wildlife Refuge turtle nursery, Chiriquí","Panama","playa-la-barqueta","Distinct beach nursery and enclosure.","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0","Héctor Ruíz Palma","This file was provided to Wikimedia Commons as part of the project La Mochila through Fundación Almanaque Azul .","image/jpeg","image/jpeg","raw/individual-whole-bed-allowlist/playa-la-barqueta-vivero.jpg","image/jpeg","574d447dc694c69331ffb806c2672e0d42759acb470dfb7d7b705f3f1185eca3","2816","2112","34250168","","2026-08-14T04:12:18Z"
"playa-mayorquina","https://commons.wikimedia.org/wiki/File:Playa_mayorquina.jpg","https://upload.wikimedia.org/wikipedia/commons/e/ec/Playa_mayorquina.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/e/ec/Playa_mayorquina.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","original","2048","1536","File:Playa mayorquina.jpg","Turtle breeding area/reservoir, Morrocoy National Park, Tucacas, Falcón","Venezuela","playa-mayorquina","Wide outdoor turtle breeding-area/reservoir context.","CC BY 3.0","https://creativecommons.org/licenses/by/3.0","NelsonMendoza99","Own work","image/jpeg","image/jpeg","raw/individual-whole-bed-allowlist/playa-mayorquina.jpg","image/jpeg","23dd750844eebbe7ff9b70cf30678afbe85fae4838db0ba32932e2151c260abe","2048","1536","32850727","","2026-08-14T04:12:18Z"
"rancho-nuevo-kraals","https://commons.wikimedia.org/wiki/File:Sea_Turtle_Kraals_Rancho_Nuevo,_Mexico_-_DPLA_-_910d40d932a20c64a822730c0ad53ced.jpg","https://upload.wikimedia.org/wikipedia/commons/1/12/Sea_Turtle_Kraals_Rancho_Nuevo%2C_Mexico_-_DPLA_-_910d40d932a20c64a822730c0ad53ced.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/1/12/Sea_Turtle_Kraals_Rancho_Nuevo%2C_Mexico_-_DPLA_-_910d40d932a20c64a822730c0ad53ced.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","original","2048","1536","File:Sea Turtle Kraals Rancho Nuevo, Mexico - DPLA - 910d40d932a20c64a822730c0ad53ced.jpg","Kemp’s ridley incubation kraal, Rancho Nuevo, Tamaulipas","Mexico","rancho-nuevo-playa-dos","Whole marked-nest sand bed in a green mesh kraal.","Public domain","https://commons.wikimedia.org/wiki/File:Sea_Turtle_Kraals_Rancho_Nuevo,_Mexico_-_DPLA_-_910d40d932a20c64a822730c0ad53ced.jpg","Department of the Interior. U.S. Fish and Wildlife Service. National Conservation Training Center. 10/1997-8888","File URL Catalog record","image/jpeg","image/jpeg","raw/individual-whole-bed-allowlist/rancho-nuevo-kraals.jpg","image/jpeg","0124890a0a5c51cba7849d44ced840d358d226097c9d249b41f59297d1ddda9d","2048","1536","193825281","","2026-08-14T04:12:18Z"
"san-san-pond-sak-vivero","https://commons.wikimedia.org/wiki/File:Vivero_de_tortugas_en_la_playa_La_Mochila.jpg","https://upload.wikimedia.org/wikipedia/commons/c/c0/Vivero_de_tortugas_en_la_playa_La_Mochila.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/c/c0/Vivero_de_tortugas_en_la_playa_La_Mochila.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","original","4000","3000","File:Vivero de tortugas en la playa La Mochila.jpg","San San Pond Sak beach turtle nursery, Bocas del Toro","Panama","san-san-pond-sak","Landscape beach nursery enclosure.","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0","Yamireyka Bethancourt, Karen Avila y Antonio Alvarado","This file was provided to Wikimedia Commons as part of the project La Mochila through Fundación Almanaque Azul .","image/jpeg","image/jpeg","raw/individual-whole-bed-allowlist/san-san-pond-sak-vivero.jpg","image/jpeg","e4d637f8a21a2db358276ab145d1014838603ad37c3049b5c6544f9dee4f6c8e","4000","3000","34250171","","2026-08-14T04:12:18Z"
"tlalcoyunque-exterior","https://commons.wikimedia.org/wiki/File:TurtleHatcheryTlalcoyunque.JPG","https://upload.wikimedia.org/wikipedia/commons/5/51/TurtleHatcheryTlalcoyunque.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/5/51/TurtleHatcheryTlalcoyunque.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","original","3872","2592","File:TurtleHatcheryTlalcoyunque.JPG","Tlalcoyunque hatching area, Guerrero","Mexico","tlalcoyunque","Wide exterior view of a net-canopy sand bed.","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0","AlejandroLinaresGarcia","Own work","image/jpeg","image/jpeg","raw/individual-whole-bed-allowlist/tlalcoyunque-exterior.jpg","image/jpeg","a1341f6ca8b1c5232805910d3fd43b1be8083c28b541b6ede70950102a5d3d7f","3872","2592","12626434","","2026-08-14T04:12:18Z"
"tlalcoyunque-interior","https://commons.wikimedia.org/wiki/File:TurtleNestingTlalcoyunque.JPG","https://upload.wikimedia.org/wikipedia/commons/4/40/TurtleNestingTlalcoyunque.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/4/40/TurtleNestingTlalcoyunque.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","original","3872","2592","File:TurtleNestingTlalcoyunque.JPG","Tlalcoyunque nesting and hatching area, Guerrero","Mexico","tlalcoyunque","Interior view with marked nests beneath the canopy.","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0","AlejandroLinaresGarcia","Own work","image/jpeg","image/jpeg","raw/individual-whole-bed-allowlist/tlalcoyunque-interior.jpg","image/jpeg","3c529f2f12d76188a2dc8bb7bdafed3f47bc39d19e7209dfd76815ecf601049c","3872","2592","12630585","","2026-08-14T04:12:18Z"
"ventanilla-guarded-nests","https://commons.wikimedia.org/wiki/File:TurtleNestsVentanilla.JPG","https://upload.wikimedia.org/wikipedia/commons/7/7d/TurtleNestsVentanilla.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/7/7d/TurtleNestsVentanilla.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","original","3872","2592","File:TurtleNestsVentanilla.JPG","La Ventanilla guarded sea-turtle nests, Tonameca, Oaxaca","Mexico","la-ventanilla","Outdoor guarded sand-bed site.","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0","Thelmadatter","Own work","image/jpeg","image/jpeg","raw/individual-whole-bed-allowlist/ventanilla-guarded-nests.jpg","image/jpeg","06f23558ddbf93e00d384d6f1613b4066771678fd2715adb33b88ce60db471ca","3872","2592","8902889","","2026-08-14T04:12:18Z"
