source_id,source_page_url,original_url,title,facility,country,scene_group,visual_review,expected_license,license,license_url,author,credit,credit_verification,expected_mime,remote_mime,local_filename,local_mime,sha256,width,height,source_page_id,source_timestamp,verified_at
"kalipur-hatchery","https://commons.wikimedia.org/wiki/File:Turtle_hatchery.jpg","https://upload.wikimedia.org/wikipedia/commons/8/83/Turtle_hatchery.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","File:Turtle hatchery.jpg","Kalipur Beach turtle hatchery, Andaman and Nicobar Islands","India","kalipur-beach","Bamboo-walled sand hatchery with circular nest guards.","CC BY-SA 4.0","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0","Arpandhar","Own work","matched","image/jpeg","image/jpeg","","","","5184","3456","49813751","","2026-08-14T03:53:20Z"
"ostional-widecast","https://commons.wikimedia.org/wiki/File:Jairo_Mora_Sandoval_WIDECAST_2.jpg","https://upload.wikimedia.org/wikipedia/commons/4/4f/Jairo_Mora_Sandoval_WIDECAST_2.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","File:Jairo Mora Sandoval WIDECAST 2.jpg","Ostional Beach Leatherback and Pacific Green Sea Turtle Project","Costa Rica","ostional-widecast","Volunteers working inside the hatchery enclosure.","CC BY-SA 3.0","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0","Photo taken by Christine Figgener","Email from Didiher Chacón, director of WIDECAST","matched","image/jpeg","image/jpeg","","","","3264","2448","26526211","","2026-08-14T03:53:20Z"
"playa-dos-kraals","https://commons.wikimedia.org/wiki/File:Kemps_ridley_sea_turtle_kraals_playa_dos_Mexico.jpg","https://upload.wikimedia.org/wikipedia/commons/a/ac/Kemps_ridley_sea_turtle_kraals_playa_dos_Mexico.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","File:Kemps ridley sea turtle kraals playa dos Mexico.jpg","Kemp’s ridley kraals, Playa Dos","Mexico","rancho-nuevo-playa-dos","Long mesh sand enclosure, ground-level exterior view.","Public Domain","Public domain","https://commons.wikimedia.org/wiki/File:Kemps_ridley_sea_turtle_kraals_playa_dos_Mexico.jpg","Shearer Tom, U.S. Fish and Wildlife Service","http://www.public-domain-image.com/public-domain-images-pictures-free-stock-photos/events-happenings-public-domain-images-pictures/kemps-ridley-sea-turtle-kraals-playa-dos-mexico.jpg","matched","image/jpeg","image/jpeg","","","","2048","1536","24923259","","2026-08-14T03:53:20Z"
"playa-la-barqueta-vivero","https://commons.wikimedia.org/wiki/File:Vivero_de_Tortugas_La_Mochila.jpg","https://upload.wikimedia.org/wikipedia/commons/7/73/Vivero_de_Tortugas_La_Mochila.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","File:Vivero de Tortugas La Mochila.jpg","Playa La Barqueta Wildlife Refuge turtle nursery, Chiriquí","Panama","playa-la-barqueta","Distinct beach nursery and enclosure.","CC BY-SA 3.0","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0","Héctor Ruíz Palma","This file was provided to Wikimedia Commons as part of the project La Mochila through Fundación Almanaque Azul .","matched","image/jpeg","image/jpeg","","","","2816","2112","34250168","","2026-08-14T03:53:20Z"
"playa-mayorquina","https://commons.wikimedia.org/wiki/File:Playa_mayorquina.jpg","https://upload.wikimedia.org/wikipedia/commons/e/ec/Playa_mayorquina.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","File:Playa mayorquina.jpg","Turtle breeding area/reservoir, Morrocoy National Park, Tucacas, Falcón","Venezuela","playa-mayorquina","Wide outdoor turtle breeding-area/reservoir context.","CC BY 3.0","CC BY 3.0","https://creativecommons.org/licenses/by/3.0","NelsonMendoza99","Own work","matched","image/jpeg","image/jpeg","","","","2048","1536","32850727","","2026-08-14T03:53:20Z"
"rancho-nuevo-kraals","https://commons.wikimedia.org/wiki/File:Sea_Turtle_Kraals_Rancho_Nuevo,_Mexico_-_DPLA_-_910d40d932a20c64a822730c0ad53ced.jpg","https://upload.wikimedia.org/wikipedia/commons/1/12/Sea_Turtle_Kraals_Rancho_Nuevo%2C_Mexico_-_DPLA_-_910d40d932a20c64a822730c0ad53ced.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","File:Sea Turtle Kraals Rancho Nuevo, Mexico - DPLA - 910d40d932a20c64a822730c0ad53ced.jpg","Kemp’s ridley incubation kraal, Rancho Nuevo, Tamaulipas","Mexico","rancho-nuevo-playa-dos","Whole marked-nest sand bed in a green mesh kraal.","Public Domain","Public domain","https://commons.wikimedia.org/wiki/File:Sea_Turtle_Kraals_Rancho_Nuevo,_Mexico_-_DPLA_-_910d40d932a20c64a822730c0ad53ced.jpg","Department of the Interior. U.S. Fish and Wildlife Service. National Conservation Training Center. 10/1997-8888","File URL Catalog record","matched","image/jpeg","image/jpeg","","","","2048","1536","193825281","","2026-08-14T03:53:20Z"
"san-san-pond-sak-vivero","https://commons.wikimedia.org/wiki/File:Vivero_de_tortugas_en_la_playa_La_Mochila.jpg","https://upload.wikimedia.org/wikipedia/commons/c/c0/Vivero_de_tortugas_en_la_playa_La_Mochila.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","File:Vivero de tortugas en la playa La Mochila.jpg","San San Pond Sak beach turtle nursery, Bocas del Toro","Panama","san-san-pond-sak","Landscape beach nursery enclosure.","CC BY-SA 3.0","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0","Yamireyka Bethancourt, Karen Avila y Antonio Alvarado","This file was provided to Wikimedia Commons as part of the project La Mochila through Fundación Almanaque Azul .","matched","image/jpeg","image/jpeg","","","","4000","3000","34250171","","2026-08-14T03:53:20Z"
"tlalcoyunque-exterior","https://commons.wikimedia.org/wiki/File:TurtleHatcheryTlalcoyunque.JPG","https://upload.wikimedia.org/wikipedia/commons/5/51/TurtleHatcheryTlalcoyunque.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","File:TurtleHatcheryTlalcoyunque.JPG","Tlalcoyunque hatching area, Guerrero","Mexico","tlalcoyunque","Wide exterior view of a net-canopy sand bed.","CC BY-SA 4.0","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0","AlejandroLinaresGarcia","Own work","matched","image/jpeg","image/jpeg","","","","3872","2592","12626434","","2026-08-14T03:53:20Z"
"tlalcoyunque-interior","https://commons.wikimedia.org/wiki/File:TurtleNestingTlalcoyunque.JPG","https://upload.wikimedia.org/wikipedia/commons/4/40/TurtleNestingTlalcoyunque.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","File:TurtleNestingTlalcoyunque.JPG","Tlalcoyunque nesting and hatching area, Guerrero","Mexico","tlalcoyunque","Interior view with marked nests beneath the canopy.","CC BY-SA 4.0","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0","AlejandroLinaresGarcia","Own work","matched","image/jpeg","image/jpeg","","","","3872","2592","12630585","","2026-08-14T03:53:20Z"
"ventanilla-guarded-nests","https://commons.wikimedia.org/wiki/File:TurtleNestsVentanilla.JPG","https://upload.wikimedia.org/wikipedia/commons/7/7d/TurtleNestsVentanilla.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","File:TurtleNestsVentanilla.JPG","La Ventanilla guarded sea-turtle nests, Tonameca, Oaxaca","Mexico","la-ventanilla","Outdoor guarded sand-bed site.","CC BY-SA 3.0","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0","Thelmadatter","Own work","matched","image/jpeg","image/jpeg","","","","3872","2592","8902889","","2026-08-14T03:53:20Z"
