"id","query","rough_role","source_page_url","image_url","download_status","local_filename","http_code","mime_type","review_status","usage_restriction"
"001","sea turtle hatchery sand nests Sri Lanka","hatchery_sand_bed_candidate","https://www.bindugopalrao.com/kosgoda-turtle-conservation/","https://www.bindugopalrao.com/wp-content/uploads/2023/05/WhatsApp-Image-2023-05-20-at-11.18.57-1.jpeg","downloaded","raw/prototype-web/001.jpg","200","image/jpeg","unreviewed","local_testing_only_not_redistributed"
"002","sea turtle hatchery sand enclosure netted nests","hatchery_sand_bed_candidate","https://puliharamalaysia.org/chakar-hutan/","https://puliharamalaysia.org/wp-content/uploads/2024/02/Chakar-Hutan_Nests-Saved.webp","downloaded","raw/prototype-web/002.webp","200","image/webp","unreviewed","local_testing_only_not_redistributed"
"003","sea turtle hatchery sand enclosure Cape Verde","hatchery_sand_bed_candidate","https://www.capeandislands.org/local-news/2024-10-29/cape-cod-and-cabo-verde-are-building-scientific-parnt","https://npr.brightspotcdn.com/dims4/default/2bdb412/2147483647/strip/true/crop/1920x1183%2B0%2B129/resize/880x542%21/quality/90/?url=http%3A%2F%2Fnpr-brightspot.s3.amazonaws.com%2Fc9%2Fb8%2F23684d8d451ea13bb2d0211f3110%2Fhatchery.jpg","downloaded","raw/prototype-web/003.jpg","200","image/jpeg","unreviewed","local_testing_only_not_redistributed"
"004","turtle egg hatchery enclosure sand","egg_nest_closeup","https://ameblo.jp/kebin0708/entry-12855021887.html","https://stat.ameba.jp/user_images/20240606/00/kebin0708/4a/3f/j/o2016151215447953395.jpg","downloaded","raw/prototype-web/004.jpg","200","image/jpeg","unreviewed","local_testing_only_not_redistributed"
"005","turtle egg hatchery enclosure sand","hatchery_sand_bed_candidate","https://maleesanat01.github.io/Sea-Turtle-Site/bentotahatchery.html","https://maleesanat01.github.io/Sea-Turtle-Site/turtleimages/ben1.jpg","downloaded","raw/prototype-web/005.jpg","200","image/jpeg","unreviewed","local_testing_only_not_redistributed"
"006","turtle nest corral sea turtle","hatchling_enclosure_context","https://www.mundoporlibre.com/2016","https://1.bp.blogspot.com/-BhRy8spt4C4/VXwjy0O5LXI/AAAAAAAAPFA/_KNFz-ncQkQ/s1600/DSCN1685.JPG","downloaded","raw/prototype-web/006.jpg","200","image/jpeg","unreviewed","local_testing_only_not_redistributed"
"007","turtle egg hatchery enclosure sand","hard_negative_context","https://tortues-terrestres.forumactif.com/t110136-oeuf-de-pelomedusa","https://i.servimg.com/u/f39/17/51/21/38/dsc_0010.jpg","downloaded","raw/prototype-web/007.jpg","200","image/jpeg","unreviewed","local_testing_only_not_redistributed"
"008","sea turtle hatchery sand nests enclosure","hatchery_sand_bed_candidate","https://hetanderebali.nl/turtle-hatchery-project-pemuteran/","https://hetanderebali.nl/wp-content/uploads/Pemuteran-schildpadden-project-8-jpg.webp","downloaded","raw/prototype-web/008.webp","200","image/webp","unreviewed","local_testing_only_not_redistributed"
"009","sea turtle conservation hatchery sand bed","hatchery_sand_bed_candidate","https://www.sabermas.umich.mx/archivo/articulos/526-numero-59/1027-nidos-de-tortuga-marina-por-que-controlar-su-temperatura.html?componentStyle=blog_3&print=1&tmpl=component","https://www.sabermas.umich.mx/images/stories/59/ARTICULO9B.png","downloaded","raw/prototype-web/009.png","200","image/png","unreviewed","local_testing_only_not_redistributed"
"010","turtle hatchery enclosure sand","hatchery_sand_bed_candidate","https://asiadivingvacation.com/resort/lankayan-island-dive-resort","https://cdn.asiadivingvacation.com/images/diveresorts/lankayan-island-dive-resort/gallery/simca-turtle-hatchery2.jpg","failed","","404","inode/x-empty","unreviewed","local_testing_only_not_redistributed"
