"id","query","rough_role","region","source_page_url","image_url","download_status","local_filename","http_code","mime_type","review_status","usage_restriction"
"001","sea turtle hatchery sand enclosure Indonesia","hatchery_sand_bed_candidate","Indonesia","https://www.antaranews.com/berita/489415/dkp-bantul-selamatkan-4697-telur-penyu-dari-kawasan-pantai","https://cdn.antaranews.com/cache/1200x800/2014/05/20140502Penangkaran-Telur-Penyu-010514-Fiq-1.jpg","downloaded","raw/prototype-web-v2/001.jpg",200,"image/jpeg","unreviewed","local_testing_only_not_redistributed"
"002","sea turtle hatchery sand enclosure India","hatchery_sand_bed_candidate","India","https://www.indiatoday.in/cities/chennai/story/chennai-forest-officials-put-efforts-to-assure-survival-of-olive-ridley-turtles-during-hatching-1931401-2022-03-30","https://akm-img-a-in.tosshub.com/indiatoday/images/story/202203/WhatsApp_Image_2022-03-30_at_1_1_1200x768.jpeg?size=690%3A388","downloaded","raw/prototype-web-v2/002.jpg",200,"image/jpeg","unreviewed","local_testing_only_not_redistributed"
"003","sea turtle hatchery sand enclosure India","partial_hatchery_context_candidate","India","https://science.thewire.in/environment/honnavar-port-olive-ridley-turtles/","https://cdn.thewire.in/wp-content/uploads/2022/07/21155821/Olive-Ridley-Turtles-Honnavar-1200x800-1.jpg","downloaded","raw/prototype-web-v2/003.jpg",200,"image/jpeg","unreviewed","local_testing_only_not_redistributed"
"004","sea turtle hatchery sand enclosure Mexico","partial_hatchery_context_candidate","Mexico","https://www.naturallybychloe.com/blog/baby-turtle-release-puerto-escondido-mexico","https://images.squarespace-cdn.com/content/v1/608b985238815e50eb27659a/1625851458811-HL7GS0GQEBF3CAM4FV22/699ab73c-552c-47d2-9c7a-602a36557d49.JPG","downloaded","raw/prototype-web-v2/004.webp",200,"image/webp","unreviewed","local_testing_only_not_redistributed"
"005","sea turtle hatchery sand enclosure Mexico","hatchery_sand_bed_candidate","Mexico","https://tribunademexico.com/amplian-corral-tortugas/","https://storage.googleapis.com/tribunamexico/2023/09/En-Los-Cabos-amplian-corral-de-anidacion-de-tortugas-905x613.jpeg","downloaded","raw/prototype-web-v2/005.jpg",200,"image/jpeg","unreviewed","local_testing_only_not_redistributed"
"006","sea turtle hatchery sand enclosure Malaysia","hatchery_sand_bed_candidate","Malaysia","https://asiadivingvacation.com/resort/pom-pom-island-resort","https://cdn.asiadivingvacation.com/Images/diveresorts/pom-pom-island-resort/turtle-hatchery.webp","failed",,404,"inode/x-empty","unreviewed","local_testing_only_not_redistributed"
"007","sea turtle hatchery sand enclosure Malaysia","hatchery_sand_bed_candidate","Malaysia","https://suara.tv/22/06/2020/penyu-karah-khazanah-laut-melaka/","https://assets.bharian.com.my/images/articles/penyu3_1592711150.jpg","failed",,403,"text/html","unreviewed","local_testing_only_not_redistributed"
"008","sea turtle hatchery sand enclosure Malaysia","hatchery_sand_bed_candidate","Malaysia","https://www.tengahislandconservation.org/adopt-a-nest","https://images.squarespace-cdn.com/content/v1/5cdb75971b06b500015927b6/86e8a98a-c817-4404-9db9-c2dbbf468034/_DSC4674.jpg","downloaded","raw/prototype-web-v2/008.webp",200,"image/webp","unreviewed","local_testing_only_not_redistributed"
"009","sea turtle hatchery sand enclosure Cabo Verde","hatchery_sand_bed_candidate","Cabo Verde","https://fr.linkedin.com/posts/hortensio-lima-079a5b37_visite-de-terrain-de-la-coordenation-r%C3%A9gional-activity-7207144553760407552-1_M8","https://media.licdn.com/dms/image/v2/D4D22AQE91wCrq6KMpQ/feedshare-shrink_800/feedshare-shrink_800/0/1718317159989?e=2147483647&t=yIey9fPGe9SVgPtdta64ivsQQmzIAvUROS003EHo6bM&v=beta","downloaded","raw/prototype-web-v2/009.jpg",200,"image/jpeg","unreviewed","local_testing_only_not_redistributed"
"010","sea turtle hatchery sand enclosure Brazil","partial_hatchery_context_candidate","Brazil","https://vamosviajarpraondeagora.com.br/como-e-o-projeto-tamar-da-praia-do-forte/","https://vamosviajarpraondeagora.com.br/wp-content/uploads/2021/01/IMG_3007-scaled.jpg","downloaded","raw/prototype-web-v2/010.jpg",200,"image/jpeg","unreviewed","local_testing_only_not_redistributed"
